id,coursename,instructor,room,from_time,to_time,type,day,date,subgroup_name,group_name
47,Elective courses on Physical Education,,,09:00,10:30,Sports,Thursday,2023-08-24,B22-CS-06,BS - Year 1
48,Theoretical sports -Mental Health,Eleonora Ilina,108 (ONLY ON 22/06),10:40,12:10,lec,Thursday,2023-08-24,B22-CS-06,BS - Year 1
49,Software Project,Nursultan Askarbekuly,108,09:00,10:30,lec,Monday,2023-08-28,B22-DSAI-01,BS - Year 1
50,Software Project,Nursultan Askarbekuly,108,10:40,12:10,tut,Monday,2023-08-28,B22-DSAI-01,BS - Year 1
51,Software Project,Munir Makhmutov,314,12:40,14:10,lab,Monday,2023-08-28,B22-DSAI-01,BS - Year 1
52,Theoretical sports -Mental Health,Eleonora Ilina,"108 (ONLY ON 20/06,27/06)",10:40,12:10,lec,Tuesday,2023-08-29,B22-DSAI-01,BS - Year 1
53,Elective courses on Physical Education,,,09:00,10:30,Sports,Wednesday,2023-08-30,B22-DSAI-01,BS - Year 1
54,Theoretical sports -Mental Health,Eleonora Ilina,"108 (ONLY ON 21/06,28/06)",10:40,12:10,lec,Wednesday,2023-08-30,B22-DSAI-01,BS - Year 1
55,Elective courses on Physical Education,,,09:00,10:30,Sports,Thursday,2023-08-31,B22-DSAI-01,BS - Year 1
56,Theoretical sports -Mental Health,Eleonora Ilina,108 (ONLY ON 22/06),10:40,12:10,lec,Thursday,2023-08-31,B22-DSAI-01,BS - Year 1
57,Software Project,Nursultan Askarbekuly,108,09:00,10:30,lec,Monday,2023-09-04,B22-DSAI-02,BS - Year 1
58,Software Project,Nursultan Askarbekuly,108,10:40,12:10,tut,Monday,2023-09-04,B22-DSAI-02,BS - Year 1
59,Software Project,Munir Makhmutov,314,14:20,15:50,lab,Monday,2023-09-04,B22-DSAI-02,BS - Year 1
60,Theoretical sports -Mental Health,Eleonora Ilina,"108 (ONLY ON 20/06,27/06)",10:40,12:10,lec,Tuesday,2023-09-05,B22-DSAI-02,BS - Year 1
61,Elective courses on Physical Education,,,09:00,10:30,Sports,Wednesday,2023-09-06,B22-DSAI-02,BS - Year 1
